marker,position,scaffold_day,conflict,selected_source,sources,source_text,consolidated,faithful,complete,placement,notes
E015:c015,15,-6,yes,luke,Luke Luke 20:1-3; Matthew Matthew 21:23-24; Mark Mark 11:27-29,"[Luke] One day as he was teaching the people in the temple courts and preaching the gospel, the chief priests and the teachers of the law, together with the elders, came up to him. ""Tell us by what authority you are doing these things,"" they said. ""Who gave you this authority?"" He replied, ""I will also ask you a question. Tell me,  ||  [Matthew] Jesus entered the temple courts, and, while he was teaching, the chief priests and the elders of the people came to him. ""By what authority are you doing these things?"" they asked. ""And who gave you this authority?"" Jesus replied, ""I will also ask you one question. If you answer me, I will tell you by what authority I am doing these things.  ||  [Mark] They arrived again in Jerusalem, and while Jesus was walking in the temple courts, the chief priests, the teachers of the law and the elders came to him. ""By what authority are you doing these things?"" they asked. ""And who gave you authority to do this?"" Jesus replied, ""I will ask you one question. Answer me, and I will tell you by what authority I am doing these things.","One day as he was teaching the people in the temple courts and preaching the gospel, the chief priests and the teachers of the law, together with the elders, arrived again in Jerusalem and came up to him while he was teaching, and they asked, “By what authority are you doing these things?” and “And who gave you this authority to do this?” Jesus replied, “I will also ask you one question. Answer me, and I will tell you by what authority I am doing these things.”",,,,
E016:c016,16,-6,,matthew,Matthew Matthew 21:25; Mark Mark 11:30,"[Matthew] John's baptism--where did it come from? Was it from heaven, or from men?""  ||  [Mark] John's baptism--was it from heaven, or from men? Tell me!""","John’s baptism—where did it come from? Was it from heaven, or from men? Was it from heaven, or from men? Tell me!",,,,
E017:c017,17,-6,,matthew,Matthew Matthew 21:26; Mark Mark 11:31-33; Luke Luke 20:4-7,"[Matthew] They discussed it among themselves and said, ""If we say, 'From heaven,' he will ask, 'Then why didn't you believe him?' But if we say, 'From men'--we are afraid of the people, for they all hold that John was a prophet.""  ||  [Mark] They discussed it among themselves and said, ""If we say, 'From heaven,' he will ask, 'Then why didn't you believe him?' But if we say, 'From men'...."" (They feared the people, for everyone held that John really was a prophet.) So they answered Jesus, ""We don't know."" Jesus said, ""Neither will I tell you by what authority I am doing these things.""  ||  [Luke] John's baptism--was it from heaven, or from men?"" They discussed it among themselves and said, ""If we say, 'From heaven,' he will ask, 'Why didn't you believe him?' But if we say, 'From men,' all the people will stone us, because they are persuaded that John was a prophet."" So they answered, ""We don't know where it was from.""","They discussed it among themselves and said, “If we say, ‘From heaven,’ he will ask, ‘Then why didn’t you believe him?’ But if we say, ‘From men’--we were afraid of the people, for they all held that John was a prophet.” They continued to debate John’s baptism—was it from heaven, or from men?—and after further discussion, they answered Jesus, “We don’t know,” and Jesus said, “Neither will I tell you by what authority I am doing these things.” So they answered, ""We don't know where it was from.""",,,,
E018:c018,18,-6,yes,matthew,Matthew Matthew 21:27-28,"[Matthew] So they answered Jesus, ""We don't know."" Then he said, ""Neither will I tell you by what authority I am doing these things. ""What do you think? There was a man who had two sons. He went to the first and said, 'Son, go and work today in the vineyard.'","So they answered Jesus, “We don’t know,” and he said, “Neither will I tell you by what authority I am doing these things.” There was a man who had two sons, and he went to the first and said, ‘Son, go and work today in the vineyard.’",,,,
E019:c019,19,-6,yes,matthew,Matthew Matthew 21:29; Luke Luke 20:8,"[Matthew] ""'I will not,' he answered, but later he changed his mind and went.  ||  [Luke] Jesus said, ""Neither will I tell you by what authority I am doing these things.""","“I will not,” he answered, but later he changed his mind and went, and Jesus said, “Neither will I tell you by what authority I am doing these things.”",,,,
E020:c020,20,-6,,matthew,Matthew Matthew 21:30-31,"[Matthew] ""Then the father went to the other son and said the same thing. He answered, 'I will, sir,' but he did not go. ""Which of the two did what his father wanted?The first,"" they answered.","A man approached his two sons and instructed them to go to the field and return with a donkey. The father then went to the other son and said the same thing. He answered, ‘I will, sir,’ but he did not go. Which of the two did what his father wanted? They answered, ‘The first.’",,,,
E021:c021,21,-5,,matthew,Matthew Matthew 21:32; Matthew 21:33,"[Matthew] Jesus said to them, ""I tell you the truth, the tax collectors and the prostitutes are entering the kingdom of God ahead of you. For John came to you to show you the way of righteousness, and you did not believe him, but the tax collectors and the prostitutes did. And even after you saw this, you did not repent and believe him. ""Listen to another parable: There was a landowner who planted a vineyard. He put a wall around it, dug a winepress in it and built a watchtower. Then he rented the vineyard to some farmers and went away on a journey.","Jesus said to them, “I tell you the truth, the tax collectors and the prostitutes are entering the kingdom of God ahead of you. For John came to you to show you the way of righteousness, and you did not believe him, but the tax collectors and the prostitutes did. And even after you saw this, you did not repent and believe him. Listen to another parable: There was a landowner who planted a vineyard. He put a wall around it, dug a winepress in it and built a watchtower. Then he rented the vineyard to some farmers and went away on a journey.”",,,,
E022:c022,22,-5,yes,matthew,Matthew Matthew 21:34-35; Mark Mark 12:1-3; Luke Luke 20:9-12,"[Matthew] When the harvest time approached, he sent his servants to the tenants to collect his fruit. ""The tenants seized his servants; they beat one, killed another, and stoned a third.  ||  [Mark] He then began to speak to them in parables: ""A man planted a vineyard. He put a wall around it, dug a pit for the winepress and built a watchtower. Then he rented the vineyard to some farmers and went away on a journey. At harvest time he sent a servant to the tenants to collect from them some of the fruit of the vineyard. But they seized him, beat him and sent him away empty-handed.  ||  [Luke] He went on to tell the people this parable: ""A man planted a vineyard, rented it to some farmers and went away for a long time. At harvest time he sent a servant to the tenants so they would give him some of the fruit of the vineyard. But the tenants beat him and sent him away empty-handed. He sent another servant, but that one also they beat and treated shamefully and sent away empty-handed. He sent still a third, and they wounded him and threw him out.","When the harvest time approached, he began to speak to them in parables, and then he sent his servants to the tenants to collect his fruit. The tenants seized his servants; they beat one, killed another, and stoned a third. He then planted a vineyard, putting a wall around it, digging a pit for the winepress and building a watchtower. He rented the vineyard to some farmers and went away on a journey. At harvest time he sent a servant to the tenants to collect from them some of the fruit of the vineyard, but they seized him, beat him and sent him away empty-handed. He sent another servant, but that one also they beat and treated shamefully and sent away empty-handed. He sent still a third, and they wounded him and threw him out.",,,,
E023:c023,23,-5,,matthew,Matthew Matthew 21:36-37; Luke Luke 20:13,"[Matthew] Then he sent other servants to them, more than the first time, and the tenants treated them the same way. Last of all, he sent his son to them. 'They will respect my son,' he said.  ||  [Luke] ""Then the owner of the vineyard said, 'What shall I do? I will send my son, whom I love; perhaps they will respect him.'","The owner of the vineyard then sent other servants to them, more than the first time, and the tenants treated them the same way. Last of all, he sent his son to them, ‘They will respect my son,’ he said, and the owner of the vineyard said, “What shall I do? I will send my son, whom I love; perhaps they will respect him.”",,,,
E024:c024,24,-5,,luke,Luke Luke 20:14-15; Matthew Matthew 21:38-39; Mark Mark 12:4-8,"[Luke] ""But when the tenants saw him, they talked the matter over. 'This is the heir,' they said. 'Let's kill him, and the inheritance will be ours.' So they threw him out of the vineyard and killed him.  ||  [Matthew] ""But when the tenants saw the son, they said to each other, 'This is the heir. Come, let's kill him and take his inheritance.' So they took him and threw him out of the vineyard and killed him.  ||  [Mark] Then he sent another servant to them; they struck this man on the head and treated him shamefully. He sent still another, and that one they killed. He sent many others; some of them they beat, others they killed. ""He had one left to send, a son, whom he loved. He sent him last of all, saying, 'They will respect my son.' ""But the tenants said to one another, 'This is the heir. Come, let's kill him, and the inheritance will be ours.' So they took him and killed him, and threw him out of the vineyard.","When the tenants saw the son, they talked the matter over and said, ‘This is the heir,’ and they came to say, ‘Let’s kill him, and the inheritance will be ours.’ So they took him and threw him out of the vineyard and killed him. But when the tenants saw him, they talked the matter over. 'This is the heir,' they said. 'Let's kill him, and the inheritance will be ours.' So they threw him out of the vineyard and killed him. Then he sent another servant to them; they struck this man on the head and treated him shamefully. He sent still another, and that one they killed. He sent many others; some of them they beat, others they killed. He had one left to send, a son, whom he loved. He sent him last of all, saying, ‘They will respect my son.’ But the tenants said to one another, 'This is the heir. Come, let’s kill him, and the inheritance will be ours.' So they took him and killed him, and threw him out of the vineyard.",,,,
E025:c025,25,-4,yes,mark,Mark Mark 12:9-11; Matthew Matthew 21:40-44; Luke Luke 20:16,"[Mark] ""What then will the owner of the vineyard do? He will come and kill those tenants and give the vineyard to others. Haven't you read this scripture: ""'The stone the builders rejected has become the capstone; the Lord has done this, and it is marvelous in our eyes'?""  ||  [Matthew] ""Therefore, when the owner of the vineyard comes, what will he do to those tenants?"" ""He will bring those wretches to a wretched end,"" they replied, ""and he will rent the vineyard to other tenants, who will give him his share of the crop at harvest time."" Jesus said to them, ""Have you never read in the Scriptures: ""'The stone the builders rejected has become the capstone; the Lord has done this, and it is marvelous in our eyes'? ""Therefore I tell you that the kingdom of God will be taken away from you and given to a people who will produce its fruit. He who falls on this stone will be broken to pieces, but he on whom it falls will be crushed.""  ||  [Luke] ""What then will the owner of the vineyard do to them? He will come and kill those tenants and give the vineyard to others."" When the people heard this, they said, ""May this never be!""","What then will the owner of the vineyard do? According to some, he will come and kill those tenants and give the vineyard to others, as was stated by one individual, while others predicted that he would bring those wretches to a wretched end and rent the vineyard to other tenants who would give him his share of the crop at harvest time. Jesus then quoted scripture: “‘The stone the builders rejected has become the capstone; the Lord has done this, and it is marvelous in our eyes’?” When the people heard this pronouncement – that he will come and kill those tenants and give the vineyard to others – they exclaimed, “May this never be!”",,,,
E026:c026,26,-5,yes,matthew,Matthew Matthew 21:45-46; Mark Mark 12:12; Luke Luke 20:17-18,"[Matthew] When the chief priests and the Pharisees heard Jesus' parables, they knew he was talking about them. They looked for a way to arrest him, but they were afraid of the crowd because the people held that he was a prophet.  ||  [Mark] Then they looked for a way to arrest him because they knew he had spoken the parable against them. But they were afraid of the crowd; so they left him and went away.  ||  [Luke] Jesus looked directly at them and asked, ""Then what is the meaning of that which is written: ""'The stone the builders rejected has become the capstone '? Everyone who falls on that stone will be broken to pieces, but he on whom it falls will be crushed.""","When the chief priests and the Pharisees heard Jesus’ parables, they knew he was talking about them and looked for a way to arrest him, but they were afraid of the crowd because the people held that he was a prophet. Then they looked for a way to arrest him because they knew he had spoken the parable against them; but they were afraid of the crowd so they left him and went away. Jesus looked directly at them and asked, “Then what is the meaning of that which is written: “‘The stone the builders rejected has become the capstone’?”",,,,
E027:c027,27,-5,,matthew,Matthew Matthew 22:1-3; Luke Luke 20:19,"[Matthew] Jesus spoke to them again in parables, saying: ""The kingdom of heaven is like a king who prepared a wedding banquet for his son. He sent his servants to those who had been invited to the banquet to tell them to come, but they refused to come.  ||  [Luke] The teachers of the law and the chief priests looked for a way to arrest him immediately, because they knew he had spoken this parable against them. But they were afraid of the people.","Jesus spoke to them again in parables, saying: “The kingdom of heaven is like a king who prepared a wedding banquet for his son. He sent his servants to those who had been invited to the banquet to tell them to come, but they refused to come,” and the teachers of the law and the chief priests looked for a way to arrest him immediately, because they knew he had spoken this parable against them. But they were afraid of the people.",,,,
E028:c028,28,-5,,matthew,Matthew Matthew 22:4-7,"[Matthew] ""Then he sent some more servants and said, 'Tell those who have been invited that I have prepared my dinner: My oxen and fattened cattle have been butchered, and everything is ready. Come to the wedding banquet.' ""But they paid no attention and went off--one to his field, another to his business. The rest seized his servants, mistreated them and killed them. The king was enraged. He sent his army and destroyed those murderers and burned their city.","Then he sent some more servants and said, ‘Tell those who have been invited that I have prepared my dinner: My oxen and fattened cattle have been butchered, and everything is ready. Come to the wedding banquet.’ But they paid no attention and went off—one to his field, another to his business. The rest seized his servants, mistreated them and killed them. The king was enraged, and he sent his army and destroyed those murderers and burned their city.",,,,
E029:c029,29,-5,,matthew,Matthew Matthew 22:8-9,"[Matthew] ""Then he said to his servants, 'The wedding banquet is ready, but those I invited did not deserve to come. Go to the street corners and invite to the banquet anyone you find.'","Then he said to his servants, ‘The wedding banquet is ready, but those I invited did not deserve to come,’ and he instructed them to go to the street corners and invite to the banquet anyone they found.",,,,
E030:c030,30,-5,,matthew,Matthew Matthew 22:10,"[Matthew] So the servants went out into the streets and gathered all the people they could find, both good and bad, and the wedding hall was filled with guests.","The servants went out into the streets and gathered all the people they could find, both good and bad, and the wedding hall was filled with guests.",,,,
E031:c031,31,-5,,matthew,Matthew Matthew 22:11-12,"[Matthew] ""But when the king came in to see the guests, he noticed a man there who was not wearing wedding clothes. 'Friend,' he asked, 'how did you get in here without wedding clothes?' The man was speechless.","When the king came in to see the guests, he noticed a man there who was not wearing wedding clothes. ‘Friend,’ he asked, ‘how did you get in here without wedding clothes?’ The man was speechless.",,,,
E032:c032,32,-5,yes,matthew,Matthew Matthew 22:13-14,"[Matthew] ""Then the king told the attendants, 'Tie him hand and foot, and throw him outside, into the darkness, where there will be weeping and gnashing of teeth.' ""For many are invited, but few are chosen.""","The king then told the attendants to tie him hand and foot, and to throw him outside into the darkness, where there would be weeping and gnashing of teeth; for many are invited, but few are chosen.",,,,
E033:c033,33,-5,yes,luke,Luke Luke 20:20-24; Matthew Matthew 22:15-16; Mark Mark 12:13-16,"[Luke] Keeping a close watch on him, they sent spies, who pretended to be honest. They hoped to catch Jesus in something he said so that they might hand him over to the power and authority of the governor. So the spies questioned him: ""Teacher, we know that you speak and teach what is right, and that you do not show partiality but teach the way of God in accordance with the truth. Is it right for us to pay taxes to Caesar or not?"" He saw through their duplicity and said to them, ""Show me a denarius. Whose portrait and inscription are on it?""  ||  [Matthew] Then the Pharisees went out and laid plans to trap him in his words. They sent their disciples to him along with the Herodians. ""Teacher,"" they said, ""we know you are a man of integrity and that you teach the way of God in accordance with the truth. You aren't swayed by men, because you pay no attention to who they are.  ||  [Mark] Later they sent some of the Pharisees and Herodians to Jesus to catch him in his words. They came to him and said, ""Teacher, we know you are a man of integrity. You aren't swayed by men, because you pay no attention to who they are; but you teach the way of God in accordance with the truth. Is it right to pay taxes to Caesar or not? Should we pay or shouldn't we?"" But Jesus knew their hypocrisy. ""Why are you trying to trap me?"" he asked. ""Bring me a denarius and let me look at it."" They brought the coin, and he asked them, ""Whose portrait is this? And whose inscription?Caesar's,"" they replied.","Keeping a close watch on him, some of the Pharisees went out and laid plans to trap him in his words, sending their disciples along with the Herodians to question Jesus: “Teacher, we know that you speak and teach what is right, and that you do not show partiality but teach the way of God in accordance with the truth. Is it right for us to pay taxes to Caesar or not?” He saw through their duplicity and said to them, ""Show me a denarius. Whose portrait and inscription are on it?"" They brought the coin, and he asked them, “Whose portrait is this? And whose inscription?Caesar’s,” they replied. Later they sent some of the Pharisees and Herodians to Jesus to catch him in his words. They came to him and said, ""Teacher, we know you are a man of integrity. You aren't swayed by men, because you pay no attention to who they are; but you teach the way of God in accordance with the truth. Is it right to pay taxes to Caesar or not? Should we pay or shouldn’t we?” But Jesus knew their hypocrisy. “Why are you trying to trap me?” he asked. ""Bring me a denarius and let me look at it",,,,
E034:c034,34,-4,yes,luke,Luke Luke 20:25-26; Matthew Matthew 22:17-20,"[Luke] ""Caesar's,"" they replied. He said to them, ""Then give to Caesar what is Caesar's, and to God what is God's."" They were unable to trap him in what he had said there in public. And astonished by his answer, they became silent.  ||  [Matthew] Tell us then, what is your opinion? Is it right to pay taxes to Caesar or not?"" But Jesus, knowing their evil intent, said, ""You hypocrites, why are you trying to trap me? Show me the coin used for paying the tax."" They brought him a denarius, and he asked them, ""Whose portrait is this? And whose inscription?""","“Caesar’s,” they replied, and Jesus responded, “Then give to Caesar what is Caesar’s, and to God what is God’s.” But Jesus, knowing their evil intent, challenged them with the question, ""Tell us then, what is your opinion? Is it right to pay taxes to Caesar or not?” They began to press him, asking, “You hypocrites, why are you trying to trap me? Show me the coin used for paying the tax.” They brought him a denarius, and he asked them, ""Whose portrait is this? And whose inscription?"" And as they were unable to trap him in what he had said there in public, astonished by his answer, they became silent.",,,,
E035:c035,35,-5,yes,matthew,Matthew Matthew 22:21; Matthew 22:22; Luke Luke 20:27-30; Mark Mark 12:17,"[Matthew] ""Caesar's,"" they replied. Then he said to them, ""Give to Caesar what is Caesar's, and to God what is God's."" When they heard this, they were amazed. So they left him and went away.  ||  [Luke] Some of the Sadducees, who say there is no resurrection, came to Jesus with a question. ""Teacher,"" they said, ""Moses wrote for us that if a man's brother dies and leaves a wife but no children, the man must marry the widow and have children for his brother. Now there were seven brothers. The first one married a woman and died childless. The second  ||  [Mark] Then Jesus said to them, ""Give to Caesar what is Caesar's and to God what is God's."" And they were amazed at him.","Some of the Sadducees, who say there is no resurrection, came to Jesus with a question, “Teacher,” they said, “Moses wrote for us that if a man’s brother dies and leaves a wife but no children, the man must marry the widow and have children for his brother. Now there were seven brothers. The first one married a woman and died childless. The second… Then Jesus said to them, ""Give to Caesar what is Caesar's, and to God what is God’s.” And they were amazed at him. Caesar’s,” they replied. Then he said to them, “Give to Caesar what is Caesar’s, and to God what is God’s.” When they heard this, they were amazed. So they left him and went away.",,,,
